SHI.L,128.6, 4:37PM,01/13/2010,11.8,120.9,129.3,118.2,229616,Gold select
CBRY.L,789.5, 4:47PM,01/13/2010,12.5,778.5,799.5,776.5,128045,Gold select
JMAT.L,1618, 4:35PM,01/13/2010,14,1601,1618,1594,5709,Gold select
CBG.L,726.5, 4:35PM,01/13/2010,15,706,733.5,706,3928,Gold select
PSN.L,494.3, 4:35PM,01/13/2010,15.6,475.8,495.2,475.8,17381,Gold select
SDRC.L,1066, 4:35PM,01/13/2010,22,1050,1071,1050,2192,Gold select
PFC.L,1006, 4:35PM,01/13/2010,23,975,1008,973.5,12284,Gold select
RB.L,3240, 4:35PM,01/13/2010,24,3207,3249,3207,16950,Gold select
ADM.L,1163, 4:35PM,01/13/2010,25,1139,1171,1138,4785,Gold select
AU.L,1539, 4:35PM,01/13/2010,26,1510,1544,1496,8512,Gold select
SIA.L,1448, 4:35PM,01/13/2010,33,1419,1465,1419,9405,Gold select
AZN.L,2962, 4:35PM,01/13/2010,33.5,2920,2973,2912,62061,Gold select
SDR.L,1340, 4:35PM,01/13/2010,35,1313,1342,1307,4119,Gold select
BWNG.L,246.7, 4:35PM,01/13/2010,-10.8,252,254.1,244.7,9460,Gold select
HSBA.L,717.7, 4:35PM,01/13/2010,-10.7,719.4,724.5,714.1,233322,Gold select
INF.L,313.6, 4:35PM,01/13/2010,-10.4,325,327.9,312,12404,Gold select
BHMG.L,1795, 4:35PM,01/13/2010,-10,1791,1805,1791,163,Gold select
CHG.L,2889, 4:35PM,01/13/2010,-10,2936,2950,2875,963,Gold select
GRG.L,405, 4:37PM,01/13/2010,-10,415,417,402.8,9411,Gold select
IAP.L,429.7, 4:35PM,01/13/2010,-10,436.7,438.2,427.4,32905,Gold select
ITRK.L,1214, 4:35PM,01/13/2010,-10,1224,1225,1195,3673,Gold select
HTG.L,574, 4:35PM,01/13/2010,-9.5,585,586,571,2087,Gold select
JFF.L,695.5, 4:35PM,01/13/2010,-9.5,706.5,707.5,695.5,83,Gold select
JLT.L,467, 4:35PM,01/13/2010,-9.3,476.9,477.6,461.2,5503,Gold select
STHR.L,303, 4:35PM,01/13/2010,-9.2,309.1,310.1,299.4,1421,Gold select
AVV.L,1043, 4:35PM,01/13/2010,-9,1042,1055,1034,1195,Gold select
KAZ.L,1426, 4:35PM,01/13/2010,-9,1421,1450,1408,21469,Gold select
VCT.L,831, 4:35PM,01/13/2010,-9,842,851,830.5,313,Gold select
MRS.L,311, 4:35PM,01/13/2010,-8.6,322.1,325,302.5,64,Gold select
ENRC.L,982.5, 4:35PM,01/13/2010,-8.5,987.5,1021,972.5,18260,Gold select
SSL.L,760, 4:35PM,01/13/2010,-8.5,772,772.5,756,4920,Gold select
DLN.L,1325, 4:35PM,01/13/2010,-8,1325,1340,1309,1742,Gold select
TPK.L,821, 4:35PM,01/13/2010,-6,830,835,811.5,9777,Gold select
SCIN.L,457, 4:35PM,01/13/2010,-5.95,456.3,459.2,452.5,206,Gold select
MRCH.L,350, 4:35PM,01/13/2010,-5.9,354.5,356.5,350,525,Gold select
CKSN.L,461, 4:35PM,01/13/2010,-5.5,467.8,470.8,455.5,15953,Gold select
PAY.L,424.8, 4:35PM,01/13/2010,-5.5,428.8,433.4,410,150,Gold select
PRU.L,624, 4:35PM,01/13/2010,-5.5,627,638,619.5,49574,Gold select
DCG.L,337.8, 4:35PM,01/13/2010,-5.4,340,351.2,337.8,4285,Gold select
IGG.L,377.6, 4:35PM,01/13/2010,-5.1,385.1,391.4,373.1,11000,Gold select
BNKR.L,370, 4:39PM,01/13/2010,-5,370.1,375,366,799,Gold select
CPI.L,732.5, 4:35PM,01/13/2010,-5,737.5,741,727.5,10005,Gold select
CWK.L,744, 4:37PM,01/13/2010,-5,750,768.5,739,231,Gold select
GNS.L,685, 4:35PM,01/13/2010,-5,691.5,691.5,685,101,Gold select
TEM.L,539.5, 4:35PM,01/13/2010,-5,543,546,538.5,7734,Gold select
FXPO.L,230.9, 4:35PM,01/13/2010,-4.9,237,239.7,227.8,12267,Gold select
WG.L,337.9, 4:35PM,01/13/2010,-4.8,338.8,344.5,332.6,15220,Gold select
ASHM.L,245.4, 4:35PM,01/13/2010,-4.6,246.4,255.4,241.1,10604,Gold select
GPOR.L,290.6, 4:35PM,01/13/2010,-4.3,293,296.8,289.2,5124,Gold select
ERM.L,453.8, 4:35PM,01/13/2010,-4.2,455,458.4,452,161,Gold select
MKS.L,368.4, 4:35PM,01/13/2010,-4.1,370.7,374.4,366.6,124208,Gold select
MNKS.L,299.8, 4:35PM,01/13/2010,-4.1,304.8,305,299.8,674,Gold select
