"SECURITIES","ERROR CODE","NUM FLDS","TICKER","OPT_STRIKE_PX","PX_LAST","PX_SETTLE","OPT_DELTA_LAST","OPT_GAMMA_LAST","SETTLE_DT","OPT_DAYS_EXPIRE","DAYS_TO_MTY","TODAY_DT","1ST_MTH_IMPVOL_90.0%MNY_DF","1ST_MTH_IMPVOL_95.0%MNY_DF","1ST_MTH_IMPVOL_97.5%MNY_DF","1ST_MTH_IMPVOL_100.0%MNY_DF","1ST_MTH_IMPVOL_102.5%MNY_DF","1ST_MTH_IMPVOL_110.0%MNY_DF","3MTH_IMPVOL_90.0%MNY_DF","3MTH_IMPVOL_95.0%MNY_DF","3MTH_IMPVOL_97.5%MNY_DF","3MTH_IMPVOL_100.0%MNY_DF","3MTH_IMPVOL_102.5%MNY_DF","3MTH_IMPVOL_110.0%MNY_DF","6MTH_IMPVOL_90.0%MNY_DF","6MTH_IMPVOL_95.0%MNY_DF","6MTH_IMPVOL_97.5%MNY_DF","6MTH_IMPVOL_100.0%MNY_DF","6MTH_IMPVOL_102.5%MNY_DF","6MTH_IMPVOL_110.0%MNY_DF"
"TYQ6C    156.25 Comdty",0,28,"TYQ6C",156.250000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYQ6C    156.5 Comdty",0,28,"TYQ6C",156.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYQ6C    156.75 Comdty",0,28,"TYQ6C",156.750000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYQ6C    157 Comdty",0,28,"TYQ6C",157.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYQ6C    157.25 Comdty",0,28,"TYQ6C",157.250000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYQ6C    157.5 Comdty",0,28,"TYQ6C",157.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYQ6C    157.75 Comdty",0,28,"TYQ6C",157.750000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYQ6C    158 Comdty",0,28,"TYQ6C",158.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYQ6C    158.25 Comdty",0,28,"TYQ6C",158.250000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYQ6C    158.5 Comdty",0,28,"TYQ6C",158.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    97 Comdty",0,28,"TYU6P",97.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    97.5 Comdty",0,28,"TYU6P",97.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    98 Comdty",0,28,"TYU6P",98.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    98.5 Comdty",0,28,"TYU6P",98.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    99 Comdty",0,28,"TYU6P",99.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    99.5 Comdty",0,28,"TYU6P",99.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    100 Comdty",0,28,"TYU6P",100.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    100.5 Comdty",0,28,"TYU6P",100.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    101 Comdty",0,28,"TYU6P",101.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    101.5 Comdty",0,28,"TYU6P",101.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    102 Comdty",0,28,"TYU6P",102.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    102.5 Comdty",0,28,"TYU6P",102.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    103 Comdty",0,28,"TYU6P",103.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    103.5 Comdty",0,28,"TYU6P",103.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    104 Comdty",0,28,"TYU6P",104.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    104.5 Comdty",0,28,"TYU6P",104.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    105 Comdty",0,28,"TYU6P",105.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    105.5 Comdty",0,28,"TYU6P",105.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    106 Comdty",0,28,"TYU6P",106.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    106.5 Comdty",0,28,"TYU6P",106.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    107 Comdty",0,28,"TYU6P",107.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    107.5 Comdty",0,28,"TYU6P",107.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    108 Comdty",0,28,"TYU6P",108.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    108.5 Comdty",0,28,"TYU6P",108.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    109 Comdty",0,28,"TYU6P",109.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    109.5 Comdty",0,28,"TYU6P",109.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    110 Comdty",0,28,"TYU6P",110.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    110.5 Comdty",0,28,"TYU6P",110.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    111 Comdty",0,28,"TYU6P",111.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    111.5 Comdty",0,28,"TYU6P",111.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    112 Comdty",0,28,"TYU6P",112.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    112.5 Comdty",0,28,"TYU6P",112.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    113 Comdty",0,28,"TYU6P",113.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    113.5 Comdty",0,28,"TYU6P",113.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    114 Comdty",0,28,"TYU6P",114.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    114.5 Comdty",0,28,"TYU6P",114.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    115 Comdty",0,28,"TYU6P",115.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    115.5 Comdty",0,28,"TYU6P",115.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    116 Comdty",0,28,"TYU6P",116.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    116.5 Comdty",0,28,"TYU6P",116.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    117 Comdty",0,28,"TYU6P",117.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    117.5 Comdty",0,28,"TYU6P",117.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    118 Comdty",0,28,"TYU6P",118.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    118.5 Comdty",0,28,"TYU6P",118.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    119 Comdty",0,28,"TYU6P",119.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    119.5 Comdty",0,28,"TYU6P",119.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    120 Comdty",0,28,"TYU6P",120.000000  , , ,-.001  ,.001  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    120.5 Comdty",0,28,"TYU6P",120.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    121 Comdty",0,28,"TYU6P",121.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    121.5 Comdty",0,28,"TYU6P",121.500000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    122 Comdty",0,28,"TYU6P",122.000000  , , ,"N.A.","N.A.","06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    122.5 Comdty",0,28,"TYU6P",122.500000  ,0.015625  ,0.015625  ,-.010  ,.007  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    123 Comdty",0,28,"TYU6P",123.000000  ,0.015625  ,0.015625  ,-.010  ,.008  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    123.5 Comdty",0,28,"TYU6P",123.500000  ,0.015625  ,0.015625  ,-.011  ,.009  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    124 Comdty",0,28,"TYU6P",124.000000  ,0.031250  ,0.031250  ,-.019  ,.014  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    124.5 Comdty",0,28,"TYU6P",124.500000  ,0.031250  ,0.031250  ,-.020  ,.015  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    125 Comdty",0,28,"TYU6P",125.000000  ,0.031250  ,0.031250  ,-.021  ,.016  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    125.5 Comdty",0,28,"TYU6P",125.500000  ,0.046875  ,0.046875  ,-.029  ,.022  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    126 Comdty",0,28,"TYU6P",126.000000  ,0.046875  ,0.046875  ,-.031  ,.024  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    126.5 Comdty",0,28,"TYU6P",126.500000  ,0.062500  ,0.062500  ,-.040  ,.030  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    127 Comdty",0,28,"TYU6P",127.000000  ,0.062500  ,0.062500  ,-.042  ,.034  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    127.5 Comdty",0,28,"TYU6P",127.500000  ,0.062500  ,0.062500  ,-.045  ,.038  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    128 Comdty",0,28,"TYU6P",128.000000  ,0.078125  ,0.078125  ,-.056  ,.047  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    128.5 Comdty",0,28,"TYU6P",128.500000  ,0.093750  ,0.093750  ,-.068  ,.057  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    129 Comdty",0,28,"TYU6P",129.000000  ,0.125000  ,0.125000  ,-.089  ,.071  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    129.5 Comdty",0,28,"TYU6P",129.500000  ,0.156250  ,0.156250  ,-.110  ,.086  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    130 Comdty",0,28,"TYU6P",130.000000  ,0.203125  ,0.203125  ,-.140  ,.105  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    130.5 Comdty",0,28,"TYU6P",130.500000  ,0.265625  ,0.265625  ,-.177  ,.126  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    131 Comdty",0,28,"TYU6P",131.000000  ,0.359375  ,0.359375  ,-.227  ,.148  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    131.5 Comdty",0,28,"TYU6P",131.500000  ,0.484375  ,0.484375  ,-.286  ,.168  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    132 Comdty",0,28,"TYU6P",132.000000  ,0.640625  ,0.640625  ,-.352  ,.185  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    132.5 Comdty",0,28,"TYU6P",132.500000  ,0.843750  ,0.843750  ,-.424  ,.194  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TYU6P    133 Comdty",0,28,"TYU6P",133.000000  ,1.078125  ,1.078125  ,-.498  ,.197  ,"06/30/2016",57  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
